record_id,track,title,publication_year,publication_status,evidence_depth,retrieved_in_this_run,screening_disposition,decision_reason,primary_source_url
A-P01,classification,MobileNetV4: Universal Models for the Mobile Ecosystem,2024,ECCV 2024; preprint also inspected,selected full-paper sections and independently checked model card,yes,primary_shortlist,Conv-Small CNN with timm-maintainer-trained weights; card 3.8M params; not original Google weights,https://arxiv.org/html/2404.10518v1
A-P02,classification,RepViT: Revisiting Mobile CNN From ViT Perspective,2024,CVPR 2024; initial preprint 2023,selected full-paper sections and independently checked model card,yes,classification_reserve,Paper 5.1M versus card 5.5M unresolved; 450-epoch checkpoint differs from 300-epoch accuracy claim,https://arxiv.org/html/2307.09283
A-P03,classification,Rewrite the Stars,2024,CVPR 2024,selected full-paper sections and independently cross-checked tables and card,yes,recommended_pending_approval,StarNet-S2 3.7M parameters and author-trained timm-distributed checkpoint verified; local execution pending,https://openaccess.thecvf.com/content/CVPR2024/papers/Ma_Rewrite_the_Stars_CVPR_2024_paper.pdf
A-P04,classification,RepNeXt: A Fast Multi-Scale CNN using Structural Reparameterization,2024,arXiv v2; peer-reviewed venue unverified,selected full-paper sections,yes,reserve,Eligible CNN concept but venue and artifact evidence incomplete,https://arxiv.org/html/2406.16004v2
A-P05,classification,UniConvNet: Expanding Effective Receptive Field while Maintaining Asymptotically Gaussian Distribution,2025,ICCV 2025 proceedings discovery,search-level,yes,hold,Compact variant and artifacts not verified,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_UniConvNet_Expanding_Effective_Receptive_Field_while_Maintaining_Asymptotically_Gaussian_Distribution_ICCV_2025_paper.pdf
A-P06,classification,AutoNeural: Co-Designing Vision-Language Models for NPU Inference,2025,arXiv 2025-12-02 revised 2026-07-20; MobileNetV5 lead,abstract and version history independently checked,yes,excluded_scope,This located paper is a VLM rather than a standalone CNN classifier; no global nonexistence claim,https://arxiv.org/abs/2512.02924
A-P07,classification,ConvNeXt V2: Co-Designing and Scaling ConvNets With Masked Autoencoders,2023,CVPR 2023,search-level,yes,older_baseline,Outside main 2024-2026 publication window,https://openaccess.thecvf.com/content/CVPR2023/html/Woo_ConvNeXt_V2_Co-Designing_and_Scaling_ConvNets_With_Masked_Autoencoders_CVPR_2023_paper.html
A-P08,classification,"Run, Don't Walk: Chasing Higher FLOPS for Faster Neural Networks",2023,CVPR 2023,search-level,yes,older_baseline,Outside main 2024-2026 publication window,https://openaccess.thecvf.com/content/CVPR2023/html/Chen_Run_Dont_Walk_Chasing_Higher_FLOPS_for_Faster_Neural_Networks_CVPR_2023_paper.html
A-P09,classification,"RepCNN: Micro-sized, Mighty Models for Wakeword Detection",2024,Secondary bibliographic lead; venue unverified,secondary search-level,yes,excluded_scope,Audio rather than requested vision application,https://www.researchgate.net/publication/383654040_RepCNN_Micro-sized_Mighty_Models_for_Wakeword_Detection
B-P01,anomaly,EfficientAD: Accurate Visual Anomaly Detection at Millisecond-Level Latencies,2024,WACV 2024; initial preprint 2023,selected full-paper sections,yes,conditional_candidate,Trained convolutional autoencoder; auxiliary ImageNet data and artifacts are adoption gates,https://openaccess.thecvf.com/content/WACV2024/papers/Batzner_EfficientAD_Accurate_Visual_Anomaly_Detection_at_Millisecond-Level_Latencies_WACV_2024_paper.pdf
B-P02,anomaly,RealNet: A Feature Selection Network with Realistic Synthetic Anomaly for Anomaly Detection,2024,CVPR 2024,accepted abstract and metadata,yes,reserve,Reconstruction method but synthesis costs and exact reconstruction architecture unverified,https://openaccess.thecvf.com/content/CVPR2024/html/Zhang_RealNet_A_Feature_Selection_Network_with_Realistic_Synthetic_Anomaly_for_CVPR_2024_paper.html
B-P03,anomaly,Dinomaly: The Less Is More Philosophy in Multi-Class Unsupervised Anomaly Detection,2025,CVPR 2025; initial preprint 2024,selected full-paper sections,yes,conditional_candidate,Feature-reconstruction transformer autoencoder not CNN; Small variant resource checks needed,https://arxiv.org/html/2405.14325v5
B-P04,anomaly,MambaAD: Exploring State Space Models for Multi-class Unsupervised Anomaly Detection,2024,NeurIPS 2024,abstract and introduction,yes,defer,Hybrid state-space reconstruction with potential custom-kernel and architecture-fit uncertainty,https://proceedings.neurips.cc/paper_files/paper/2024/file/833b21da1956c6b92f6df253bf655cf5-Paper-Conference.pdf
B-P05,anomaly,Wave-MambaAD: Wavelet-driven State Space Model for Multi-class Unsupervised Anomaly Detection,2025,ICCV 2025,accepted abstract and metadata,yes,defer,Hybrid wavelet and state-space architecture; implementation evidence insufficient,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Wave-MambaAD_Wavelet-driven_State_Space_Model_for_Multi-class_Unsupervised_Anomaly_Detection_ICCV_2025_paper.html
B-P06,anomaly,RcAE: Recursive Reconstruction Framework for Unsupervised ... [incomplete title],2026,AAAI publisher record; full metadata unresolved,publisher search metadata; retrieval failed,yes,hold,Full architecture and artifacts not recovered,https://ojs.aaai.org/index.php/AAAI/article/view/38048
B-P07,anomaly,InvAD: Inversion-based Reconstruction-Free Anomaly Detection with Diffusion Models,2026,CVPR 2026,accepted abstract and metadata,yes,excluded_scope,Explicitly reconstruction-free; not selected as a deep autoencoder,https://openaccess.thecvf.com/content/CVPR2026/html/Sakai_InvAD_Inversion-based_Reconstruction-Free_Anomaly_Detection_with_Diffusion_Models_CVPR_2026_paper.html
C-P01,restoration,Swift Parameter-free Attention Network for Efficient Super-Resolution,2023,arXiv 2023 revised 2024; standalone venue unverified,selected full-paper sections; numerical extraction not corroborated,yes,reserve,Initial parameter and configuration assignments withdrawn from scoring after inconsistent extraction,https://arxiv.org/abs/2311.12770
C-P02,restoration,Partial Large Kernel CNNs for Efficient Super-Resolution,2024,arXiv 2024; IEEE Access 2026 journal record verified through university,selected full-paper sections,yes,reserve,Exact tiny-model complexity and artifacts remain unverified; do not label ECCV 2024,https://arxiv.org/html/2404.11848v1
C-P03,restoration,Expanded SPAN for Efficient Super-Resolution,2025,CVPR Workshops 2025,selected full-paper sections; numerical table extraction not corroborated,yes,reserve,Initial exact performance and compute tuples withdrawn from scoring; released checkpoint unverified,https://openaccess.thecvf.com/content/CVPR2025W/NTIRE/html/Wang_Expanded_SPAN_for_Efficient_Super-Resolution_CVPRW_2025_paper.html
C-P04,restoration,LIR: Efficient Degradation Removal for Lightweight Image Restoration,2024,arXiv 2024; venue unverified,search-level,yes,hold,Precise architecture and runnable checkpoint unverified,https://arxiv.org/html/2402.01368v1
C-P05,restoration,UCAN: Unified Convolutional Attention Network for Expansive Receptive Fields in ... [incomplete title],2026,CVPR 2026 proceedings locator,search-level; full retrieval failed,yes,hold,Do not infer pure CNN or compactness from title alone,https://openaccess.thecvf.com/content/CVPR2026/papers/Tan_UCAN_Unified_Convolutional_Attention_Network_for_Expansive_Receptive_Fields_in_CVPR_2026_paper.pdf
C-P06,restoration,AKNet: an aligned kernel network for image restoration,2026,Springer article indexed 2026-07-23; journal details not inspected,search-level,yes,defer,Exact architecture code weights and compute unresolved,https://link.springer.com/article/10.1007/s00371-026-04662-0
C-P07,restoration,Simple Baselines for Image Restoration,2022,ECCV 2022 background reference,background locator not accessed,no,older_background,Not counted as a newly screened paper or recent candidate,https://arxiv.org/abs/2204.04676
